"Player","Team","Pos","Opp","Tipoff","Salary","Projection","SE","DvP","FantasyPros","FantasyFuel","numberFire","RotoGrinders","Rotowire","SportsLine","SwishAnalytics","Label","Deviation","Floor","Ceil","OU","Line","Spread","Situation"
"Goran Dragic","MIA","PG","PHO","Tue 7:30PM",8200,36.22,1.52,51.4,37.1,NA,33.9,37.63,34.9,37.5,36.31,"G. Dragic",11.29,26.34,48.92,214,-1000,-12.5,""
"Mike Conley","MEM","PG","@NOR","Tue 8:00PM",8200,35.82,0.91,51.5,37.2,36.8,35.3,35,35.8,34.75,35.87,"M. Conley",12.95,22.05,47.95,208.5,115,2,""
"DeAndre Jordan","LAC","C","@LAL","Tue 10:30PM",7900,35.2,1.97,52,35.8,34.8,33,39.24,34.4,34.36,34.8,"D. Jordan",12.56,26.68,51.8,219.5,-435,-9,"3in4-B2B"
"Draymond Green","GSW","PF","@DAL","Tue 8:30PM",8100,34.6,2.75,40.4,36.8,NA,35.4,37.11,30.1,35.74,32.47,"D. Green",12.25,24.86,49.36,207,-205,-5,"3in4-B2B"
"Brook Lopez","BKN","C","DET","Tue 7:30PM",7100,33.64,1.68,45,33.5,31.8,33,33.98,31.7,36.18,35.33,"B. Lopez",12.91,21.07,46.89,214,195,5.5,""
"C.J. McCollum","POR","SG","MIL","Tue 10:00PM",7100,33.23,1.52,40.7,35,32.5,33.5,35.08,33.1,32.73,30.68,"C. McCollum",12.28,22.8,47.36,212,-195,-5,"3in4"
"LaMarcus Aldridge","SAS","PF","@MIN","Tue 9:30PM",7000,31.47,1.85,43.7,34.4,NA,32.1,30.02,30.4,32.44,29.48,"L. Aldridge",9.01,21.01,39.03,205.5,-210,-5,"3in4"
"Jrue Holiday","NOR","PG","MEM","Tue 8:00PM",7300,31.36,2.07,47.2,34,31.8,33,32.58,29.8,28.08,30.26,"J. Holiday",8.8,23.78,41.38,208.5,-135,-2,""
"Andrew Wiggins","MIN","SF","SAS","Tue 9:30PM",7000,31.19,1.52,34.7,29.8,NA,31.1,31.06,29.7,31.63,33.87,"A. Wiggins",12.73,18.33,43.79,205.5,180,5,""
"Julius Randle","LAL","PF","LAC","Tue 10:30PM",6600,30.63,2.02,41.6,28.6,29.8,27.9,32.52,33.5,31.11,30.98,"J. Randle",10.08,22.44,42.6,219.5,365,9,""
"Jusuf Nurkic","POR","C","MIL","Tue 10:00PM",6700,30.6,3.78,49,28,30,25.1,37.2,32.7,30.13,31.09,"J. Nurkic",13.02,24.18,50.22,212,-195,-5,"3in4"
"Ricky Rubio","MIN","PG","SAS","Tue 9:30PM",7500,30.53,2.07,44.1,28.7,NA,29.3,31.14,29.1,30.64,34.28,"R. Rubio",13.39,17.75,44.53,205.5,180,5,""
"D'Angelo Russell","LAL","PG","LAC","Tue 10:30PM",6400,30.02,2.45,45.8,30.2,26.3,28.2,32.19,31.1,28.79,33.39,"D. Russell",12.88,19.31,45.07,219.5,365,9,""
"Klay Thompson","GSW","SG","@DAL","Tue 8:30PM",7000,29.97,1.97,40.3,31.7,NA,30.1,31.48,26.5,31.03,29,"K. Thompson",11.33,20.15,42.81,207,-205,-5,"3in4-B2B"
"Harrison Barnes","DAL","SF","GSW","Tue 8:30PM",5800,28.88,1.51,40.1,31.3,NA,28,30.09,28.7,27.8,27.42,"H. Barnes",10.53,19.56,40.62,207,175,5,""
"Tobias Harris","DET","PF","@BKN","Tue 7:30PM",5400,27.87,2.7,48.4,29,23.5,25.2,28.8,31.7,28.55,28.35,"T. Harris",7.78,21.02,36.58,214,-225,-5.5,""
"James Johnson","MIA","PF","PHO","Tue 7:30PM",6400,27.71,2.69,46.5,25.4,NA,27,32.17,27.5,24.9,29.31,"J. Johnson",12.55,19.62,44.72,214,-1000,-12.5,""
"Khris Middleton","MIL","SF","@POR","Tue 10:00PM",6400,27.66,2.13,40.8,25.8,27.3,25,30.24,28.4,30.45,26.41,"K. Middleton",9.37,20.87,39.61,212,170,5,""
"Serge Ibaka","TOR","PF","CHI","Tue 7:00PM",5700,27.16,2.25,43.2,30.3,24,28.1,27.93,26.6,28.61,24.6,"S. Ibaka",8.1,19.83,36.03,200,-275,-6.5,""
"Tyler Johnson","MIA","PG","PHO","Tue 7:30PM",5700,27.01,1.67,51.4,28.7,NA,27.9,26.26,24,27.68,27.53,"T. Johnson",8.93,17.33,35.19,214,-1000,-12.5,""
"Dirk Nowitzki","DAL","PF","GSW","Tue 8:30PM",6000,26.72,0.76,45.2,26.5,NA,27.8,25.99,26.7,25.91,27.43,"D. Nowitzki",9.1,16.89,35.09,207,175,5,""
"Reggie Jackson","DET","PG","@BKN","Tue 7:30PM",5000,26.49,2.66,52.4,29.4,22,26,26.56,28.6,28.59,24.3,"R. Jackson",8.23,18.33,34.79,214,-225,-5.5,""
"T.J. Warren","PHO","SF","@MIA","Tue 7:30PM",6500,26.36,3.43,39.4,23.4,NA,22.4,28.09,31.9,25.6,26.78,"T. Warren",9.83,18.26,37.92,214,725,12.5,""
"Alan Williams","PHO","C","@MIA","Tue 7:30PM",5700,26.34,4.8,48.1,26.2,NA,17,28.46,30.2,29.17,27.01,"A. Williams",8.54,19.92,37,214,725,12.5,""
"Greg Monroe","MIL","C","@POR","Tue 10:00PM",6400,26.02,1.73,47.4,25.8,27.5,26.2,27.9,22.9,27.01,24.86,"G. Monroe",8.37,19.53,36.27,212,170,5,""
"Pau Gasol","SAS","C","@MIN","Tue 9:30PM",5900,25.89,4.15,46.7,29.4,NA,30.8,26.83,22.4,26.06,19.83,"P. Gasol",8.05,18.78,34.88,205.5,-210,-5,"3in4"
"Tyler Ulis","PHO","PG","@MIA","Tue 7:30PM",6400,25.88,7.26,45.4,22.3,NA,13.8,32.06,33.8,25.56,27.75,"T. Ulis",9.62,22.44,41.68,214,725,12.5,""
"Jordan Clarkson","LAL","PG","LAC","Tue 10:30PM",5800,25.49,3.09,45.8,20.3,26.3,22.5,28.36,28.8,25.46,26.72,"J. Clarkson",9.64,18.72,38,219.5,365,9,""
"Zach Randolph","MEM","PF","@NOR","Tue 8:00PM",5500,25.35,2.08,44.7,27,23.8,27.2,21.87,25.2,27.6,24.78,"Z. Randolph",7,14.87,28.87,208.5,115,2,""
"Marcus Morris","DET","SF","@BKN","Tue 7:30PM",5300,25.11,1.64,47.4,25.6,22.5,24,24.95,27.4,24.69,26.65,"M. Morris",8.73,16.22,33.68,214,-225,-5.5,""
"Jonas Valanciunas","TOR","C","CHI","Tue 7:00PM",5500,24.91,1.79,46,27.3,24.5,25.1,22.91,23.7,27.34,23.54,"J. Valanciunas",6.64,16.27,29.55,200,-275,-6.5,""
"Gorgui Dieng","MIN","PF","SAS","Tue 9:30PM",5200,24.37,0.7,41.1,23.6,NA,24.7,25.38,24.1,24.79,23.66,"G. Dieng",8.38,17,33.76,205.5,180,5,""
"Kentavious Caldwell-Pope","DET","SG","@BKN","Tue 7:30PM",4700,23.61,1.86,44.1,25.5,20.5,24.3,22.91,25.5,24.49,22.09,"K. Caldwell-Pope",11,11.91,33.91,214,-225,-5.5,""
"Wayne Selden",NA,NA,NA,NA,NA,22.99,0,NA,NA,NA,NA,NA,NA,22.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wesley Matthews","DAL","SG","GSW","Tue 8:30PM",4500,22.78,2.21,39.9,25.7,NA,23.7,19.69,22.9,23.96,20.74,"W. Matthews",7.29,12.4,26.98,207,175,5,""
"Rajon Rondo","CHI","PG","@TOR","Tue 7:00PM",5400,22.74,4.09,46.5,17.4,23.8,17,27.31,24.5,22.74,26.43,"R. Rondo",8.19,19.12,35.5,200,230,6.5,""
"Robin Lopez","CHI","C","@TOR","Tue 7:00PM",5000,22.61,1.16,45.6,23.1,22,21.8,23.99,22.3,20.99,24.1,"R. Lopez",7.92,16.07,31.91,200,230,6.5,""
"Malcolm Brogdon","MIL","PG","@POR","Tue 10:00PM",5000,22.6,1.84,48.1,20.7,22,20.7,23.85,25.9,22.12,22.94,"M. Brogdon",9.3,14.55,33.15,212,170,5,""
"Seth Curry","DAL","SG","GSW","Tue 8:30PM",5300,22.02,1.31,39.9,23.5,NA,21.8,20.16,22.8,23,20.87,"S. Curry",6.25,13.91,26.41,207,175,5,""
"Cory Joseph","TOR","PG","CHI","Tue 7:00PM",5000,21.5,3.63,49.5,16.4,21.8,17.5,24.74,22,26.6,21.44,"C. Joseph",7.17,17.57,31.91,200,-275,-6.5,""
"Ishmael Smith","DET","PG","@BKN","Tue 7:30PM",4300,21.36,0.93,52.4,21.5,NA,20.8,21.08,22.5,22.26,20,"I. Smith",7.8,13.28,28.88,214,-225,-5.5,""
"Rondae Hollis-Jefferson","BKN","SF","DET","Tue 7:30PM",4500,21.29,2.08,40.3,18.7,20.5,19.5,23.31,20.6,21.93,24.52,"R. Hollis-Jefferson",7.69,15.62,31,214,195,5.5,""
"Nerlens Noel","DAL","C","GSW","Tue 8:30PM",5900,21.25,2.75,47.3,20.3,NA,21.5,19.74,22.1,25.99,17.88,"N. Noel",8.09,11.65,27.83,207,175,5,""
"Ivica Zubac","LAL","C","LAC","Tue 10:30PM",4300,21.1,4.53,48.6,25.7,20.8,16.4,28.25,18.8,16.3,21.46,"I. Zubac",8.47,19.77,36.73,219.5,365,9,""
"Jose Barea",NA,NA,NA,NA,NA,20.9,0,NA,NA,NA,NA,NA,20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Al-Farouq Aminu","POR","PF","MIL","Tue 10:00PM",4600,20.59,1.12,43.8,21.8,19,20.3,22.3,19.9,20.47,20.37,"A. Aminu",7.36,14.94,29.66,212,-195,-5,"3in4"
"Brandon Ingram","LAL","SF","LAC","Tue 10:30PM",4500,20.49,2.82,42.5,17.1,21.3,17.4,20.5,25,19.46,22.67,"B. Ingram",7.79,12.71,28.29,219.5,365,9,""
"J.J. Redick","LAC","SG","@LAL","Tue 10:30PM",4300,20.48,1.11,41.8,22,19.8,21.2,21.01,20.8,19.94,18.62,"J. Redick",8.61,12.4,29.62,219.5,-435,-9,"3in4-B2B"
"Josh Richardson","MIA","SG","PHO","Tue 7:30PM",4600,20.38,1.9,41.5,18.4,NA,19.3,19.27,22.7,19.81,22.83,"J. Richardson",6.17,13.1,25.44,214,-1000,-12.5,""
"Tony Allen","MEM","SG","@NOR","Tue 8:00PM",4100,20.36,0.97,42.3,20.6,19.3,20.8,20.19,22.2,19.61,19.85,"T. Allen",6.46,13.73,26.65,208.5,115,2,""
"JaMychal Green","MEM","PF","@NOR","Tue 8:00PM",4200,20.19,2.11,44.7,23.8,18.8,22.5,19.6,19.6,18.84,18.21,"J. Green",8.23,11.37,27.83,208.5,115,2,""
"Jon Leuer","DET","PF","@BKN","Tue 7:30PM",4200,20.17,2.1,48.4,21,19,21.5,20.73,23.3,18.72,16.96,"J. Leuer",7.46,13.27,28.19,214,-225,-5.5,""
"Trevor Booker","BKN","PF","DET","Tue 7:30PM",5100,19.74,6.19,43,22.3,23.3,25.1,7.39,19,24.28,16.84,"T. Booker",3.77,3.62,11.16,214,195,5.5,""
"Alex Len","PHO","C","@MIA","Tue 7:30PM",4600,19.63,1.59,48.1,17.6,NA,18.8,19.15,20.9,22.06,19.25,"A. Len",5.75,13.4,24.89,214,725,12.5,""
"Marquese Chriss","PHO","PF","@MIA","Tue 7:30PM",4900,19.39,2.81,41.6,14.7,NA,17.6,22.36,20.3,19.92,21.45,"M. Chriss",6.93,15.43,29.29,214,725,12.5,""
"Yogi Ferrell","DAL","PG","GSW","Tue 8:30PM",4500,19.39,1.78,46.9,22.6,NA,18.9,18.09,17.6,20.02,19.14,"Y. Ferrell",7.42,10.67,25.51,207,175,5,""
"Ish Smith",NA,NA,NA,NA,NA,19.3,0,NA,NA,19.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jose Juan Barea","DAL","PG","GSW","Tue 8:30PM",4900,19,1.96,46.9,18.1,NA,22,18.82,NA,19.41,16.68,"J. Barea",7.34,11.48,26.16,207,175,5,""
"Jamal Crawford","LAC","SG","@LAL","Tue 10:30PM",3700,18.97,1.47,41.8,18.8,17.3,19.1,19.86,21.6,17.47,18.63,"J. Crawford",6.16,13.7,26.02,219.5,-435,-9,"3in4-B2B"
"Maurice Harkless","POR","SF","MIL","Tue 10:00PM",3900,18.96,2.66,43.9,24.3,16,19.7,18.37,19.1,18.19,17.05,"M. Harkless",5.88,12.49,24.25,212,-195,-5,"3in4"
"Evan Turner","POR","SF","MIL","Tue 10:00PM",4500,18.88,1.85,43.9,20.1,19.3,19.7,18.22,16.5,21.6,16.73,"E. Turner",6.74,11.48,24.96,212,-195,-5,"3in4"
"Caris LeVert","BKN","SG","DET","Tue 7:30PM",4300,18.68,1.98,38,18.6,19.5,14.5,19.24,19.6,18.56,20.74,"C. LeVert",7.7,11.54,26.94,214,195,5.5,""
"Nikola Mirotic","CHI","PF","@TOR","Tue 7:00PM",4400,18.66,1.99,45.1,18.2,18.8,19.5,22.43,17.4,18.27,16.02,"N. Mirotic",10.99,11.44,33.42,200,230,6.5,""
"Jordan Crawford","NOR","SG","MEM","Tue 8:00PM",3600,18.57,2.2,41.3,20.6,16.5,20.9,19.07,17.5,20.16,15.23,"J. Crawford",6.48,12.59,25.55,208.5,-135,-2,""
"Andre Iguodala","GSW","SF","@DAL","Tue 8:30PM",4900,18.36,1.75,37.6,18.4,NA,17.9,21.14,16.6,19.48,16.63,"A. Iguodala",6.55,14.59,27.69,207,-205,-5,"3in4-B2B"
"Austin Rivers","LAC","PG","@LAL","Tue 10:30PM",4000,18.21,1.51,51.5,19.8,18.3,19.4,19.08,17.6,15.28,18.02,"A. Rivers",5.72,13.36,24.8,219.5,-435,-9,"3in4-B2B"
"Spencer Dinwiddie","BKN","PG","DET","Tue 7:30PM",3500,18.17,2.48,48.6,14.9,16.5,16.4,21.04,20.3,17.26,20.76,"S. Dinwiddie",6.94,14.1,27.98,214,195,5.5,""
"Vince Carter","MEM","SF","@NOR","Tue 8:00PM",3700,17.86,2.09,40.5,16.1,19.5,16.4,19.24,21.1,15.51,17.2,"V. Carter",8.27,10.97,27.51,208.5,115,2,""
"DeMarre Carroll","TOR","SF","CHI","Tue 7:00PM",4100,17.57,2.35,41.7,19.2,18,19.2,14.09,15.8,20.71,15.99,"D. Carroll",4.51,9.58,18.6,200,-275,-6.5,""
"Larry Nance Jr.",NA,NA,NA,NA,NA,17.5,0,NA,NA,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zaza Pachulia","GSW","C","@DAL","Tue 8:30PM",4300,17.23,2.62,46.2,16.7,NA,19.2,15.97,13.1,20.58,17.86,"Z. Pachulia",5.43,10.54,21.4,207,-205,-5,"3in4-B2B"
"Matt Barnes","GSW","SF","@DAL","Tue 8:30PM",4200,17.07,2.34,37.6,17.5,NA,18.1,20.53,13.6,17.05,15.64,"M. Barnes",7.8,12.73,28.33,207,-205,-5,"3in4-B2B"
"Solomon Hill","NOR","SF","MEM","Tue 8:00PM",4300,17.04,1.92,38.7,16.3,19,15.2,19.67,17.4,14.35,17.38,"S. Hill",6.1,13.57,25.77,208.5,-135,-2,""
"Patrick Mills","SAS","PG","@MIN","Tue 9:30PM",4400,16.98,2.41,47,17.7,NA,17.7,19.94,18.4,14.31,13.8,"P. Mills",8.37,11.57,28.31,205.5,-210,-5,"3in4"
"Larry Nance","LAL","PF","LAC","Tue 10:30PM",4000,16.6,0.89,41.6,17.1,NA,17.3,15.23,16.2,17.6,16.15,"L. Nance",5.94,9.29,21.17,219.5,365,9,""
"E'Twaun Moore","NOR","SG","MEM","Tue 8:00PM",4000,16.59,1.58,41.3,16.5,18.8,17,17.94,16.1,13.88,15.94,"E. Moore",5.56,12.38,23.5,208.5,-135,-2,""
"David Lee","SAS","PF","@MIN","Tue 9:30PM",4600,16.56,2.09,43.7,17.1,NA,17.1,19.15,17.9,14.27,13.83,"D. Lee",8.04,11.11,27.19,205.5,-210,-5,"3in4"
"Matthew Dellavedova","MIL","PG","@POR","Tue 10:00PM",3500,16.54,1.33,48.1,17.8,16,16.7,17.8,17,16.56,13.9,"M. Dellavedova",5.52,12.28,23.32,212,170,5,""
"Danny Green","SAS","SG","@MIN","Tue 9:30PM",3700,16.47,1.03,39.6,17.2,NA,16.8,17.16,15.1,17.34,15.23,"D. Green",5.32,11.84,22.48,205.5,-210,-5,"3in4"
"Wayne Ellington","MIA","SG","PHO","Tue 7:30PM",3900,16.43,1.58,41.5,15,NA,16.6,14.73,16.1,19.07,17.08,"W. Ellington",4.57,10.16,19.3,214,-1000,-12.5,""
"Allen Crabbe","POR","SG","MIL","Tue 10:00PM",3600,16.42,0.99,40.7,16.9,16,16.8,17.79,16.8,15.97,14.66,"A. Crabbe",7.65,10.14,25.44,212,-195,-5,"3in4"
"Tim Frazier","NOR","SG","MEM","Tue 8:00PM",3900,16.35,2.81,41.3,12.9,17.3,12.5,18.65,17.9,15.5,19.7,"T. Frazier",6.34,12.31,24.99,208.5,-135,-2,""
"Bobby Portis","CHI","PF","@TOR","Tue 7:00PM",4000,16.28,3.92,45.1,9.2,18,13,16.6,20.5,17.26,19.37,"B. Portis",5.48,11.12,22.08,200,230,6.5,""
"Tony Parker","SAS","PG","@MIN","Tue 9:30PM",4100,16.06,7.99,47,20.2,NA,0,19.01,18.5,21.33,17.34,"T. Parker",6.84,12.17,25.85,205.5,-210,-5,"3in4"
"Terrence Jones","MIL",NA,"@POR","Tue 10:00PM",4000,16.02,7.59,NA,18.7,18.5,22,NA,NA,NA,4.9,"T. Jones",NA,NA,NA,NA,NA,NA,""
"P.J. Tucker","TOR","SF","CHI","Tue 7:00PM",3700,16,1.55,41.7,18.8,14.8,17.3,15.76,14.7,15.99,14.67,"P. Tucker",5.67,10.09,21.43,200,-275,-6.5,""
"Tony Snell","MIL","SF","@POR","Tue 10:00PM",4200,15.79,1.45,40.8,14.9,18.8,15.3,15.72,16.1,15.47,14.25,"T. Snell",4.87,10.85,20.59,212,170,5,""
"Isaiah Whitehead","BKN","PG","DET","Tue 7:30PM",3500,15.76,1.94,48.6,12.1,15.5,14.7,16.25,17.8,16.44,17.5,"I. Whitehead",4.88,11.38,21.12,214,195,5.5,""
"Marreese Speights","LAC","PF","@LAL","Tue 10:30PM",3600,15.68,2.03,49.2,17.5,16,14.9,16.5,17.2,NA,12,"M. Speights",5.12,11.38,21.61,219.5,-435,-9,"3in4-B2B"
"John Henson","MIL","PF","@POR","Tue 10:00PM",3900,15.54,2.98,47.4,15.2,17,17.5,16.85,12.3,19.12,10.84,"J. Henson",6.57,10.28,23.42,212,170,5,""
"Michael Carter-Williams","CHI","PG","@TOR","Tue 7:00PM",3600,15.45,1.83,46.5,12.7,15.5,16.5,16.28,16.6,17.42,13.12,"M. Carter-Williams",7.98,8.3,24.26,200,230,6.5,""
"Denzel Valentine","CHI","SG","@TOR","Tue 7:00PM",4600,15.38,5.68,37.2,7.1,20.5,9.1,17.47,22.8,15.17,15.51,"D. Valentine",6.64,10.83,24.11,200,230,6.5,""
"Noah Vonleh","POR","PF","MIL","Tue 10:00PM",3700,15.33,5.37,43.8,8.9,21.8,8.8,19.12,17,NA,16.38,"N. Vonleh",5.74,13.38,24.86,212,-195,-5,"3in4"
"Dewayne Dedmon","SAS","C","@MIN","Tue 9:30PM",3500,15.19,1.29,46.7,15.3,NA,14.7,17.29,14.2,13.72,15.91,"D. Dedmon",5.88,11.41,23.17,205.5,-210,-5,"3in4"
